category	weight	text
greetings	9	Selam alejkum.
greetings	9	Alejkumu selam.
greetings	9	Allah razi olsun.
greetings	9	Allah kabul olsun.
greetings	8	Neka te Allah nagradi.
greetings	8	Neka vam Allah podari svako dobro.
greetings	8	Elhamdulillah, dobro sam.
greetings	8	Mašallah, baš lijepo.
greetings	8	Inšallah, vidimo se uskoro.
greetings	8	Ako Bog da, bit će dobro.
greetings	7	Amin, da nam Allah ukabuli.
greetings	8	Bajram šerif mubarek olsun.
greetings	6	Bajram barećula.
greetings	8	Hvala Allahu na svemu.
greetings	7	Bismillah, možemo početi.
worship	9	Želim klanjati namaz.
worship	9	Želim klanjati sjedeći.
worship	9	Pomozi mi da uzmem abdest.
worship	9	Želim uzeti abdest.
worship	8	Donesi mi posudu za abdest.
worship	9	Okreni me prema kibli.
worship	9	Donesi mi serdžadu.
worship	8	Namjesti mi serdžadu.
worship	8	Donesi mi tespih.
worship	8	Želim proučiti dovu.
worship	8	Prouči dovu za zdravlje.
worship	8	Sjeti me se u dovi.
worship	8	Molim Allaha za zdravlje.
worship	8	Neka nam Allah podari sabur.
worship	7	Nijjet je važan za ibadet.
worship	7	Ibadet treba činiti iskreno.
worship	7	Abdest je priprema za namaz.
worship	7	Je li nastupio sabah?
worship	7	Kada je podne namaz?
worship	7	Kada je ikindija?
worship	7	Koliko je ostalo do akšama?
worship	7	Je li vrijeme za jaciju?
worship	7	Danas je džuma.
worship	7	Kada je džuma namaz?
worship	7	Čujem ezan iz džamije.
worship	7	Mujezin uči ezan.
worship	7	Ikamet je proučen.
worship	6	Ovaj namaz ima četiri rekata.
worship	6	Spusti me na sedždu.
worship	6	Pomozi mi da sjednem za namaz.
worship	6	Vrijeme namaza piše na vaktiji.
worship	7	Donesi mi vaktiju.
quran_hadith	10	Donesi mi Kur'an.
quran_hadith	10	Želim čitati Kur'an.
quran_hadith	10	Želim slušati učenje Kur'ana.
quran_hadith	9	Otvori Kur'an.
quran_hadith	9	Otvori suru Jasin.
quran_hadith	9	Prouči suru Jasin.
quran_hadith	9	Prouči Fatihu.
quran_hadith	9	Pročitaj mi ovaj ajet.
quran_hadith	9	Pročitaj mi prijevod ajeta.
quran_hadith	8	Koji je ovo ajet?
quran_hadith	8	Na kojoj je stranici ova sura?
quran_hadith	8	Ovaj ajet govori o saburu.
quran_hadith	8	Tefsir pojašnjava značenje ajeta.
quran_hadith	7	Pogledaj šta kaže tefsir.
quran_hadith	7	Želim pročitati tefsir.
quran_hadith	7	Pročitaj komentar ovog hadisa.
quran_hadith	7	Ovo je vjerodostojan hadis.
quran_hadith	7	Kur'an i sunnet su izvori vjere.
quran_hadith	7	Treba provjeriti predaju hadisa.
quran_hadith	7	Tedžvid je važan pri učenju Kur'ana.
quran_hadith	7	Pravilno izgovori svaki harf.
quran_hadith	7	Želim završiti hatmu.
quran_hadith	7	Koji džuz danas učimo?
quran_hadith	7	Donesi mi mushaf.
quran_hadith	6	Kiraet zahtijeva pažljivo učenje.
quran_hadith	6	Hafiz uči Kur'an napamet.
ramadan_bayram	9	Počinje mjesec ramazan.
ramadan_bayram	9	Ramazan je mubarek mjesec.
ramadan_bayram	9	Kada je iftar?
ramadan_bayram	9	Vrijeme je za iftar.
ramadan_bayram	9	Kada je sehur?
ramadan_bayram	8	Probudi me za sehur.
ramadan_bayram	8	Postim danas.
ramadan_bayram	8	Želim postiti sutra.
ramadan_bayram	8	Kada počinje teravija?
